vote_id,code,interinstitutional_file_no,label,date,committee_responsible
38852,RC-B9-0123/2019,2019/2886/RSP,The Turkish military operation in northeast Syria and its consequences,2019-10-24,No Committee
38853,RC-B9-0123/2019,2019/2886/RSP,The Turkish military operation in northeast Syria and its consequences,2019-10-24,No Committee
38854,RC-B9-0123/2019,2019/2886/RSP,The Turkish military operation in northeast Syria and its consequences,2019-10-24,No Committee
38855,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38856,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38857,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38858,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38859,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38860,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38861,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38862,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38863,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38864,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38865,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38866,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38867,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38868,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38869,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38870,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38871,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38872,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38873,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38874,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
38875,B9-0154/2019,2019/2755/RSP,Motions for resolutions - Search and rescue in the Mediterranean,2019-10-24,"Civil Liberties, Justice and Home Affairs"
